loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,loan_status,purpose,dti
2500, 36 months,13.56,10+ years,RENT,55000.0,Current,debt_consolidation,18.24
30000, 60 months,18.94,10+ years,MORTGAGE,90000.0,Current,debt_consolidation,26.52
5000, 36 months,17.97,6 years,MORTGAGE,59280.0,Current,debt_consolidation,10.51
4000, 36 months,18.94,10+ years,MORTGAGE,92000.0,Current,debt_consolidation,16.74
30000, 60 months,16.14,10+ years,MORTGAGE,57250.0,Current,debt_consolidation,26.35
5550, 36 months,15.02,10+ years,MORTGAGE,152500.0,Current,credit_card,37.94
2000, 36 months,17.97,4 years,RENT,51000.0,Current,debt_consolidation,2.4
6000, 36 months,13.56,10+ years,RENT,65000.0,Current,credit_card,30.1
5000, 36 months,17.97,10+ years,MORTGAGE,53580.0,Current,debt_consolidation,21.16
6000, 36 months,14.47,< 1 year,OWN,300000.0,Current,debt_consolidation,17.43
5500, 36 months,22.35,< 1 year,MORTGAGE,50000.0,Current,credit_card,15.94
28000, 60 months,11.31,2 years,MORTGAGE,70000.0,Current,credit_card,22.01
11200, 36 months,8.19,10+ years,MORTGAGE,65000.0,Current,credit_card,23.6
6500, 36 months,17.97,4 years,MORTGAGE,154000.0,Current,debt_consolidation,28.78
22000, 60 months,12.98,10+ years,MORTGAGE,65000.0,Current,debt_consolidation,11.19
3500, 36 months,16.14,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,13.63
7000, 36 months,12.98,4 years,MORTGAGE,102500.0,Current,house,15.2
25000, 60 months,16.91,10+ years,MORTGAGE,23878.0,Current,debt_consolidation,6.26
16000, 60 months,20.89,4 years,MORTGAGE,120000.0,Current,credit_card,27.57
13000, 60 months,14.47,10+ years,MORTGAGE,75000.0,Current,debt_consolidation,26.16
10000, 36 months,13.56,< 1 year,MORTGAGE,65000.0,Current,credit_card,10.62
13000, 36 months,14.47,10+ years,MORTGAGE,55000.0,Current,credit_card,10.58
9600, 36 months,23.4,9 years,RENT,65000.0,Current,credit_card,23.01
3500, 36 months,20.89,10+ years,MORTGAGE,40000.0,Current,car,9.09
16000, 60 months,26.31,< 1 year,RENT,33000.0,Current,credit_card,33.62
15000, 60 months,14.47,,MORTGAGE,30000.0,Current,debt_consolidation,41.6
13000, 36 months,23.4,2 years,MORTGAGE,90000.0,Current,other,39.73
23000, 60 months,20.89,5 years,RENT,68107.0,Current,debt_consolidation,0.52
8000, 36 months,23.4,10+ years,OWN,43000.0,Current,debt_consolidation,33.24
32075, 60 months,11.8,10+ years,MORTGAGE,150000.0,Current,credit_card,22.21
12000, 60 months,13.56,< 1 year,MORTGAGE,40000.0,Current,debt_consolidation,19.23
10000, 60 months,19.92,10+ years,MORTGAGE,80000.0,Current,debt_consolidation,20.67
16000, 60 months,17.97,5 years,MORTGAGE,51000.0,Current,debt_consolidation,21.91
3300, 36 months,23.4,3 years,RENT,49700.0,Current,vacation,14.32
20000, 60 months,11.8,,MORTGAGE,47590.0,Current,credit_card,9.53
3500, 36 months,20.89,10+ years,RENT,33190.0,Current,credit_card,19.71
12000, 36 months,26.31,5 years,OWN,19000.0,Current,credit_card,35.88
10000, 36 months,20.89,7 years,RENT,74000.0,Current,credit_card,11.21
6000, 36 months,6.46,1 year,MORTGAGE,40000.0,Current,credit_card,12.87
25000, 60 months,27.27,5 years,MORTGAGE,171000.0,Current,credit_card,14.66
20000, 36 months,12.98,5 years,RENT,74800.0,Current,debt_consolidation,23.5
2200, 36 months,15.02,,RENT,70000.0,Current,debt_consolidation,14.16
25000, 60 months,17.97,7 years,RENT,53000.0,Current,debt_consolidation,12.64
4000, 36 months,11.8,,RENT,20000.0,Current,debt_consolidation,12.24
1250, 36 months,23.4,10+ years,RENT,52000.0,Current,other,9.9
10400, 36 months,12.98,10+ years,MORTGAGE,56099.0,Current,credit_card,20.92
7500, 36 months,11.8,,MORTGAGE,32700.0,Current,debt_consolidation,28.26
7000, 36 months,10.72,< 1 year,MORTGAGE,97000.0,Current,other,33.17
25000, 36 months,12.98,,OWN,30000.0,Current,debt_consolidation,24.88
8000, 36 months,11.8,7 years,MORTGAGE,85000.0,Current,credit_card,23.61
9000, 36 months,10.33,4 years,MORTGAGE,75000.0,Current,credit_card,13.14
9600, 36 months,15.02,10+ years,OWN,60000.0,Current,debt_consolidation,32.64
8000, 36 months,10.72,10+ years,MORTGAGE,82923.0,Current,car,18.55
12000, 36 months,16.14,6 years,RENT,24000.0,Current,credit_card,23.55
20000, 36 months,13.56,9 years,MORTGAGE,40000.0,Current,debt_consolidation,31.02
40000, 60 months,14.47,< 1 year,MORTGAGE,500000.0,Current,debt_consolidation,13.47
14400, 60 months,14.47,3 years,RENT,110000.0,Current,debt_consolidation,10.83
22400, 36 months,8.81,2 years,MORTGAGE,30000.0,Current,debt_consolidation,43.32
25000, 36 months,10.33,2 years,OWN,78000.0,Current,debt_consolidation,25.67
26000, 60 months,18.94,10+ years,MORTGAGE,40000.0,Current,debt_consolidation,20.61
25000, 60 months,15.02,10+ years,MORTGAGE,63500.0,Current,debt_consolidation,27.52
1000, 36 months,30.75,,MORTGAGE,50000.0,Current,other,19.9
2000, 36 months,8.19,4 years,MORTGAGE,100000.0,Current,credit_card,16.42
9000, 36 months,6.46,10+ years,MORTGAGE,35000.0,Current,debt_consolidation,32.65
20000, 36 months,13.56,10+ years,MORTGAGE,98500.0,Current,debt_consolidation,9.06
29450, 36 months,8.19,10+ years,MORTGAGE,161000.0,Current,debt_consolidation,10.99
34625, 60 months,16.14,10+ years,MORTGAGE,137500.0,Current,debt_consolidation,27.88
31450, 36 months,7.56,7 years,MORTGAGE,130000.0,Current,debt_consolidation,9.29
15500, 36 months,10.72,10+ years,RENT,52000.0,Current,credit_card,16.66
12000, 36 months,11.8,10+ years,RENT,79365.0,Current,debt_consolidation,29.7
36000, 60 months,17.97,9 years,RENT,160000.0,Current,debt_consolidation,33.17
30000, 36 months,16.14,7 years,MORTGAGE,116000.0,Current,debt_consolidation,28.21
3000, 36 months,17.97,10+ years,RENT,50000.0,Current,debt_consolidation,30.03
35000, 36 months,12.98,2 years,RENT,112000.0,Current,debt_consolidation,15.55
26500, 60 months,11.31,10+ years,MORTGAGE,134000.0,Current,credit_card,18.91
4000, 36 months,23.4,3 years,RENT,90000.0,Current,debt_consolidation,26.33
12000, 60 months,22.35,< 1 year,OWN,65000.0,Current,credit_card,13.05
3000, 36 months,15.02,4 years,MORTGAGE,60000.0,Current,home_improvement,21.36
8000, 36 months,14.47,4 years,RENT,42300.0,Current,credit_card,19.49
10250, 36 months,10.72,10+ years,MORTGAGE,96000.0,Current,debt_consolidation,8.31
22400, 60 months,16.14,10+ years,OWN,56000.0,Current,credit_card,18.47
27000, 60 months,15.02,10+ years,MORTGAGE,45000.0,Current,debt_consolidation,23.55
24000, 36 months,19.92,7 years,RENT,30000.0,Current,credit_card,67.68
6500, 36 months,10.72,< 1 year,RENT,50000.0,Current,debt_consolidation,24.29
25000, 36 months,16.91,10+ years,RENT,95000.0,Current,debt_consolidation,13.78
8000, 36 months,10.72,2 years,RENT,95000.0,Current,credit_card,10.47
21000, 60 months,15.02,5 years,OWN,50000.0,Current,debt_consolidation,0.0
10000, 36 months,14.47,10+ years,RENT,47000.0,Current,credit_card,15.25
7500, 36 months,16.14,10+ years,OWN,50000.0,Current,home_improvement,16.11
30000, 36 months,16.91,10+ years,RENT,40000.0,Current,debt_consolidation,16.44
3775, 36 months,13.56,,OWN,5000.0,Current,home_improvement,66.86
5600, 36 months,11.31,,RENT,20166.0,Current,debt_consolidation,39.58
6000, 36 months,16.14,3 years,RENT,40000.0,Current,other,3.75
16000, 36 months,15.02,4 years,OWN,50000.0,Current,debt_consolidation,17.79
15000, 36 months,16.14,3 years,RENT,60000.0,Current,credit_card,18.86
21000, 60 months,15.02,10+ years,RENT,109000.0,Current,debt_consolidation,23.25
25000, 60 months,20.89,1 year,MORTGAGE,70000.0,Current,debt_consolidation,26.08
1000, 36 months,8.19,10+ years,MORTGAGE,78000.0,Current,other,8.58
16000, 60 months,20.89,10+ years,RENT,200000.0,Current,credit_card,14.42
8500, 36 months,16.91,7 years,MORTGAGE,70200.0,Current,debt_consolidation,3.62
30000, 36 months,22.35,5 years,MORTGAGE,100000.0,Fully Paid,debt_consolidation,30.46
3000, 36 months,8.81,,RENT,71250.0,Current,debt_consolidation,5.71
16000, 36 months,23.4,10+ years,MORTGAGE,140000.0,Current,credit_card,18.39
8000, 36 months,12.98,4 years,MORTGAGE,95000.0,Current,credit_card,9.44
30000, 60 months,17.97,10+ years,MORTGAGE,65000.0,Current,debt_consolidation,8.12
6000, 36 months,14.47,10+ years,RENT,55000.0,Current,credit_card,10.65
5000, 36 months,12.98,2 years,RENT,80000.0,Current,debt_consolidation,2.39
10000, 36 months,16.14,< 1 year,MORTGAGE,90000.0,Current,debt_consolidation,7.85
20000, 60 months,16.14,10+ years,MORTGAGE,30000.0,Current,other,38.16
22650, 36 months,10.72,7 years,MORTGAGE,145000.0,Current,home_improvement,17.06
10000, 36 months,11.31,2 years,OWN,35000.0,Current,debt_consolidation,15.6
24000, 36 months,10.33,10+ years,MORTGAGE,100000.0,Current,debt_consolidation,19.14
4000, 36 months,18.94,< 1 year,MORTGAGE,37000.0,Current,debt_consolidation,9.34
30000, 36 months,15.02,10+ years,RENT,90000.0,Current,debt_consolidation,22.23
11000, 36 months,16.14,3 years,MORTGAGE,240000.0,Current,debt_consolidation,9.03
24000, 60 months,13.56,10+ years,MORTGAGE,125000.0,Current,credit_card,25.29
18000, 60 months,10.72,10+ years,MORTGAGE,32000.0,Current,debt_consolidation,46.63
18000, 36 months,8.81,< 1 year,RENT,40000.0,Current,debt_consolidation,12.81
